pharma_id	Name	PubChem	DrugBank	ChEBI
PA166152901	serotonin	5202		28790
PA161925594	tropisetron		11699	32269
PA450267	lorazepam	46508468	186	6539
PA451608	temazepam	46506604	231	9435
PA164781320	flunitrazepam	46504553	1544	31622
PA450496	midazolam	46507611	683	6931
PA449681	flurazepam	7847395	690	5128
PA10035	bromazepam	46505694	1558	31302
PA166131305	nordazepam	2997		111762
PA166178653	angiotensin 1-7	123805		55438
PA166109554	angiotensin ii	65143		58506
PA166109574	bradykinin	439201		3165
PA165111696	artemisinin	68827		223316
PA165111697	artesunate	5464098		63918
PA450163	lamivudine	46507855	709	63577
PA451735	tramadol	46506256	193	75725
PA450616	nevirapine	46506789	238	63613
	leukotriene c4			16978
	leukotriene b4			15647
PA134698661	pranlukast	692058	1411	94810
	leukotriene d4			28666
PA166114483	lumacaftor	16678941		90951
PA165950341	ivacaftor	16220172	8820	66901
PA165946873	vemurafenib	42611257		63637
PA166178276	6-phosphogluconate	91493		48928
PA166178280	dihydronicotinamide adenine dinucleotide phosphate	5884	2338	16474
PA166160613	phosphoribosyl pyrophosphate	7339		17111
PA166178277	ribulose-5-phosphate	439184		16332
PA166178279	nicotinamide adenine dinucleotide phosphate	5886		44409
PA166178274	glucose-6-phosphate	5958		17733
PA166178278	fructose-6-phosphate	69507		15946
PA166160614	ribose phosphate	77982		17797
PA450457	methylene blue			6872
PA451752	triamterene	46507623	384	9671
	atp			15422
PA449917	hydrogen peroxide	784		16240
	nadh			16908
PA450566	mycophenolate mofetil	7847817	688	8764
PA166160619	inosine monophosphate	8582		17202
PA166178641	androstenedione	6128	1536	16422
PA451089	pravastatin	46504851	175	63618
PA451258	ritodrine	9448	867	8872
PA451616	terbutaline	9339	871	9449
PA134687907	formoterol	46507099	983	63082
PA450431	methoxamine	9716	723	6839
PA451300	salmeterol	46508024	938	64064
	tyrosine			58315
PA450390	orciprenaline	9353	816	83329
PA165110775	sn-38	104842		8988
PA450085	irinotecan	46505871	762	80630
	acetate			30089
PA450487	metyrosine	46506079	765	6912
PA166178639	cholesterol	5997		16113
PA166178666	squalene	638072	11460	15440
PA166160055	cholic acid	221493		16359
PA164924493	axitinib			66910
PA166118340	motesanib	11667893		51098
PA164924492	brivanib			94562
PA166118341	vandetanib	3081361		49960
PA449646	flecainide	46508078	1195	75984
PA451457	sotalol	9517	489	63622
PA449839	halofantrine	603092	1218	94392
PA449958	ibutilide	731244	308	5856
PA451131	propafenone	46504529	1182	63619
PA166131350	acrylic acid	6581		18308
PA166160613	prpp	7339		17111
PA451663	thioguanine	46508170	352	9555
PA166160618	s-adenosylhomocysteine	439155		16680
PA166178659	arachidonic acid	444899	4557	15843
PA452620	tegafur	5386	9256	32188
PA166131299	5'-deoxy-5-fluorouridine	18343		31521
	histamine			18295
PA166178990	somatostatin	16129681	9099	64628
PA451234	repaglinide	46508150	912	8805
	acetoacetyl-coa			15345
PA154410481	prasugrel	99443238	6209	87723
PA166179131	phosphatidylethanolamine	9546747		44887
PA166179130	phosphatidylcholine	5287971	2306	73002
PA10204	tenofovir	699321	300	63717
PA10005	adefovir dipivoxil	7848718	718	31175
	tryptophan			16828
PA165291492	pazopanib	11525740		71219
PA166163680	amitriptylinoxide	20313		135224
PA166114906	bosutinib	160645775		39112
PA165946122	crizotinib	11626560		64310
PA166163464	inositol 1,4,5-trisphosphate	439456		16595
PA165980594	ponatinib	24826799		78543
PA131890628	tranilast			77572
PA166178378	uric acid	1175		17775
PA451106	probenecid	9576	1032	8426
PA134852920	benzbromarone			3023
PA166182234	candesartan cilexetil	2540		3348
PA165958521	febuxostat			31596
PA166178628	xanthine	1188		17712
PA166178630	hypoxanthine	790		17368
PA166131330	oxypurinol	4644		28315
PA166178623	allantoin	204		15676
PA450748	oxymorphone	46505296	1192	7865
PA166163694	5-hydroxydiclofenac	3052566		59612
PA166163693	4'-hydroxydiclofenac	116545		59613
PA166163692	diclofenac acyl glucuronide	16084218		59609
PA166163701	4',5-dihydroxydiclofenac	3052567		223401
PA166163695	5-hydroxy diclofenac benzoquinone	15480180		59611
PA166163700	3'-hydroxydiclofenac	112230		223792
PA166163659	n-desmethylclozapine	2820		64050
PA166165069	(s)-norverapamil	15593908		134081
	cl-			17996
	gaba			16865
PA166109575	angiotensin i	3081372		2718
	fe(ii)			29033
PA165291922	doxorubicinol	83970		133817
PA166131278	tetrahydrothiophene	1127		48458
	nh4+			28938
PA166131317	sulfolane	31347		74794
PA165260403	arteether	72416		135335
	m2			34827
PA166131352	1-methyluric acid	69726		68441
PA166131274	5-acetylamino-6-formylamino-3-methyluracil	108214		32643
PA166131368	1-methylxanthine	80220		68443
PA165820585	1,7-dimethylxanthine	4687		25858
PA166131373	1,7-dimethyluric acid	91611		68449
PA166131367	1,3,7-trimethyluric acid	79437		691622
PA166131287	2-hydroxyiminostilbene	13103864		80599
